Date,High,Low,Close,Adj Close,Volume,Open,Interest,Currency,Inflation,Month,Day
2008-01-11,6.351786,6.071429,6.1675,5.249272,1232285600,6.285714,3.74,0.507551,4.3,1,11
2008-01-14,6.407857,6.256071,6.385,5.434391,1100450400,6.34,3.74,0.507551,4.3,1,14
2008-01-15,6.400714,5.880714,6.037143,5.138322,2343278000,6.347143,3.74,0.507551,4.3,1,15
2008-01-16,6.036071,5.596429,5.701429,4.852591,2213845200,5.901071,3.74,0.507551,4.3,1,16
2008-01-17,5.905714,5.657857,5.746071,4.890586,1757859600,5.768214,3.74,0.507551,4.3,1,17
2008-01-18,5.919643,5.700357,5.762857,4.904873,1724343600,5.775357,3.74,0.507551,4.3,1,18
2008-01-22,5.713571,5.214286,5.558571,4.731001,2434754000,5.287857,3.74,0.507551,4.3,1,22
2008-01-23,5,4.505,4.966786,4.227321,3372969600,4.863929,3.74,0.507551,4.3,1,23
2008-01-24,5.025,4.714643,4.842857,4.121845,2005866800,4.999643,3.74,0.507551,4.3,1,24
2008-01-25,4.9675,4.628929,4.643214,3.951925,1554739200,4.963929,3.74,0.507551,4.3,1,25
2008-01-28,4.757143,4.516071,4.643214,3.951925,1474844000,4.577143,3.74,0.507551,4.3,1,28
2008-01-29,4.7425,4.608929,4.697857,3.998432,1099982800,4.683929,3.74,0.507551,4.3,1,29
2008-01-30,4.8375,4.642857,4.720714,4.017888,1243051600,4.691786,3.74,0.507551,4.3,1,30
2008-01-31,4.880357,4.621429,4.834286,4.114551,1345674400,4.623214,3.74,0.507551,4.3,1,31
2008-02-01,4.878214,4.720714,4.776786,4.065611,1010744000,4.865714,3.74,0.5093919,4,2,1
2008-02-04,4.853571,4.693571,4.701786,4.001775,899234000,4.793214,3.74,0.5093919,4,2,4
2008-02-05,4.785714,4.603571,4.62,3.932165,1141042000,4.658214,3.74,0.5093919,4,2,5
2008-02-06,4.711429,4.348929,4.357143,3.708444,1573272400,4.6725,3.74,0.5093919,4,2,6
2008-02-07,4.456429,4.188214,4.33,3.685344,2083331600,4.284643,3.74,0.5093919,4,2,7
2008-02-08,4.489286,4.342857,4.481429,3.814226,1355972800,4.36,3.74,0.5093919,4,2,8
2008-02-11,4.642143,4.542857,4.623214,3.934902,1201432400,4.571786,3.74,0.5093919,4,2,11
2008-02-12,4.678571,4.415,4.459286,3.79538,1225980000,4.667857,3.74,0.5093919,4,2,12
2008-02-13,4.635,4.486786,4.621429,3.933383,968534000,4.524286,3.74,0.5093919,4,2,13
2008-02-14,4.671429,4.536071,4.552143,3.874413,954097200,4.621429,3.74,0.5093919,4,2,14
2008-02-15,4.538571,4.430714,4.451071,3.788388,901300400,4.509643,3.74,0.5093919,4,2,15
2008-02-19,4.526786,4.337143,4.363571,3.713917,1005046000,4.499643,3.74,0.5093919,4,2,19
2008-02-20,4.45,4.345714,4.422143,3.763766,967439200,4.364286,3.74,0.5093919,4,2,20
2008-02-21,4.516786,4.316429,4.340714,3.694461,938114800,4.501786,3.74,0.5093919,4,2,21
2008-02-22,4.375357,4.138214,4.266429,3.631236,1529878000,4.374286,3.74,0.5093919,4,2,22
2008-02-25,4.291786,4.166429,4.276429,3.639748,1256774400,4.235357,3.74,0.5093919,4,2,25
2008-02-26,4.324643,4.122857,4.255357,3.621812,1504888000,4.201429,3.74,0.5093919,4,2,26
2008-02-27,4.394643,4.2175,4.391429,3.737627,1475138000,4.2225,3.74,0.5093919,4,2,27
2008-02-28,4.721429,4.491786,4.639643,3.948886,1618254400,4.542857,3.74,0.5093919,4,2,28
2008-02-29,4.650357,4.457143,4.465,3.800245,1255480800,4.6175,3.74,0.5093919,4,2,29
2008-03-03,4.499286,4.214286,4.3475,3.700238,1593043200,4.444286,3.51,0.4997835,4,3,3
2008-03-04,4.46,4.3,4.450714,3.788086,1785383600,4.356786,3.51,0.4997835,4,3,4
2008-03-05,4.469286,4.366071,4.446071,3.784133,1221836000,4.413571,3.51,0.4997835,4,3,5
2008-03-06,4.553571,4.314643,4.318929,3.675919,1473698800,4.450357,3.51,0.4997835,4,3,6
2008-03-07,4.392143,4.251786,4.366071,3.716044,1230462800,4.300357,3.51,0.4997835,4,3,7
